character,story,archetype,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,overall_morality
Jesse Pinkman,Jesse Pinkman/Breaking Bad,Outcast-Adventurers,0.09070719970715127,0.09070205525825915,0.10951310502131709,-0.5629042155953066,-0.10048720133978949,0.2765180407991826,-0.015991836024864325
Hank Schrader,Hank Schrader/Breaking Bad,Brute-Heroes,0.016521281762278173,0.10325935960779291,0.47193905786384793,0.06057584071947952,-0.08189950077631183,0.2399625458131602,0.13505976416504115
Marie Schrader,Marie Schrader/Breaking Bad,Outcast-Diva-Demons,-0.2861138507289828,-0.3789541826779819,-0.03601793605081146,-0.07872279188415207,-0.3390738685499791,-0.05250205282515121,-0.19523078045284312
Flynn White,Flynn White/Breaking Bad,Outcast-Angels,0.6005385413765174,0.5269106067408212,0.44369298323596507,0.41142957352534165,0.6184853757147117,-0.4113346814404779,0.3649537331921466
Saul Goodman,Saul Goodman/Breaking Bad,Adventurer-Demon-Heroes,-0.13932317978594191,-0.12425739905060229,0.04708115570987167,-0.6101752663438685,-0.34240140738943076,0.553577318811802,-0.10258312967469496
Gus Fring,Gus Fring/Breaking Bad,Traditionalist-Demon-Heroes,-0.22742895071547312,-0.0076083511229707015,0.17202876906801887,-0.05632818530551128,-0.26775763045999035,0.5117257560000876,0.020771901244026836
Mike Ehrmantraut,Mike Ehrmantraut/Breaking Bad,Lone Wolf-Traditionalist-Heroes,0.02661154196573238,0.24941636672335307,0.3801148585192602,0.08144442290875571,-0.0338490559791563,0.3954704488685875,0.18320143050108875
Jane Margolis,Jane Margolis/Breaking Bad,Geek-Adventurer-Demons,-0.14839074313448447,-0.06794816880748768,-0.044859102232085356,-0.7668697128263271,-0.3600196989438905,0.6505928255564686,-0.12291576673130107
John Bender,John Bender/The Breakfast Club,Lone Wolf-Adventurer-Demons,-0.38737490486994997,-0.2775429752415379,-0.15060624044120927,-0.844226862766282,-0.5794249004316813,0.7255712417382773,-0.2522674403353972
Claire Standish,Claire Standish/The Breakfast Club,Diva-Heroes,0.21003251068853115,0.1282891557909614,0.2973214261210127,0.3467874407596999,0.1959738529549941,-0.11230475514965856,0.17768327186092345
Andrew Clark,Andrew Clark/The Breakfast Club,Brute-Diva-Traditionalists,0.09821595481234391,0.05745986953927061,0.29620282131352493,0.38845864038155925,0.07770859998074743,-0.22065663343336578,0.11623154209901339
Brian Johnson,Brian Johnson/The Breakfast Club,Outcast-Traditionalist-Angels,0.5496954926086671,0.5072496619606789,0.4490067567495793,0.6890672247972459,0.6263217920750039,-0.49207319262211896,0.3882112892615093
Allison Reynolds,Allison Reynolds/The Breakfast Club,Geek-Outcast-Lone Wolves,-0.1787502215867352,-0.05629753309330695,-0.1047386355439834,-0.523183863357452,-0.2709975608086075,0.4444564955693199,-0.11491855313679421
Principal Vernon,Principal Vernon/The Breakfast Club,Brute-Traditionalist-Demons,-0.5902148897737256,-0.5540756413651938,-0.1799647733453894,-0.034451469969819015,-0.5953094866455227,0.062359699337305535,-0.3152760936270575
Dorothy Gale,Dorothy Gale/The Wizard of Oz,Diva-Adventurer-Angels,0.774951864212899,0.6696798881619062,0.6116188751558944,0.36038683198132815,0.7793370702793653,-0.19887081315708227,0.4995172861057185
The Wizard of Oz,The Wizard of Oz/The Wizard of Oz,Geek-Diva-Demons,-0.5100933618884413,-0.5063083855652676,-0.2375222553105714,-0.34138701897450574,-0.5583708012838323,0.30523747590005146,-0.30807405785376113
The Scarecrow,The Scarecrow/The Wizard of Oz,Outcast-Adventurer-Angels,0.6249549315146486,0.4956681840673162,0.39859199214595564,0.2641647263421793,0.6322140524525729,-0.4189991137903058,0.3327657954553945
The Tin Man,The Tin Man/The Wizard of Oz,Outcast-Angels,0.6682894772516359,0.61487113818234,0.5363392338601852,0.563952162941259,0.7067983459191391,-0.48499516647736024,0.4342091986128665
The Cowardly Lion,The Cowardly Lion/The Wizard of Oz,Outcast-Angel-Fools,0.3419573888754375,0.19844545285596382,0.17165712209832562,0.2953027331041549,0.3758191628515502,-0.49516920892133487,0.14800210847734951
The Wicked Witch of the West,The Wicked Witch of the West/The Wizard of Oz,Demons,-0.6456415506978077,-0.5171412933018705,-0.21110173256512424,-0.6251733261507183,-0.7345461555112242,0.5864182220354709,-0.35786430603187896
Jack Pearson,Jack Pearson/This Is Us,Adventurer-Angel-Heroes,0.7406794825859632,0.7839631633588376,0.75340687959856,0.1212926355528964,0.615274257232924,0.2166577676206884,0.5385456976583116
Rebecca Pearson,Rebecca Pearson/This Is Us,Adventurer-Angel-Heroes,0.7854005859142266,0.7406235226981173,0.7455980091035911,0.36568469844060886,0.7167813637397102,-0.0013822157577475134,0.5587843273564178
