135	Raiders of the Lost Ark	Black Swan	https://compstorylab.org/archetypometrics/cards/Black-Swan-1600-364-241.pdf
136	Ratatouille	Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-1600-364-241.pdf
137	Rick and Morty	Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-1600-364-241.pdf
138	Riverdale	Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-1600-364-241.pdf
139	Robin Hood	Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-1600-364-241.pdf
140	Romeo and Juliet	Ratatouille	https://compstorylab.org/archetypometrics/cards/Ratatouille-1600-364-241.pdf
141	Sailor Moon	Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-1600-364-241.pdf
142	Scandal	The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-1600-364-241.pdf
143	Schitt's Creek	Rick and Morty	https://compstorylab.org/archetypometrics/cards/Rick-and-Morty-1600-364-241.pdf
144	Scrubs	Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-1600-364-241.pdf
145	Se7en	Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-1600-364-241.pdf
146	Seinfeld	Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-1600-364-241.pdf
147	Sense8	LOST	https://compstorylab.org/archetypometrics/cards/LOST-1600-364-241.pdf
148	Sex and the City	Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-1600-364-241.pdf
149	Shameless	Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-1600-364-241.pdf
150	Shaun of the Dead	Willy Wonka \& the Chocolate Factory	https://compstorylab.org/archetypometrics/cards/Willy-Wonka-and-the-Chocolate-Factory-1600-364-241.pdf
151	Sherlock	Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-1600-364-241.pdf
152	Shrek	Outlander	https://compstorylab.org/archetypometrics/cards/Outlander-1600-364-241.pdf
153	Silicon Valley	The Odyssey	https://compstorylab.org/archetypometrics/cards/The-Odyssey-1600-364-241.pdf
154	Smallville	Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-1600-364-241.pdf
155	Snow White and the Seven Dwarfs	Crazy Ex-Girlfriend	https://compstorylab.org/archetypometrics/cards/Crazy-Ex-Girlfriend-1600-364-241.pdf
156	Sons of Anarchy	Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-1600-364-241.pdf
157	South Park	Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-1600-364-241.pdf
158	Space Force	The Handmaid's Tale	https://compstorylab.org/archetypometrics/cards/The-Handmaids-Tale-1600-364-241.pdf
159	Speed	Agents of S.H.I.E.L.D.	https://compstorylab.org/archetypometrics/cards/Agents-of-SHIELD-1600-364-241.pdf
160	Star Trek: Deep Space Nine	The Hangover	https://compstorylab.org/archetypometrics/cards/The-Hangover-1600-364-241.pdf
161	Star Trek: The Next Generation	The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-1600-364-241.pdf
162	Star Wars: A New Hope	Snow White and the Seven Dwarfs	https://compstorylab.org/archetypometrics/cards/Snow-White-and-the-Seven-Dwarfs-1600-364-241.pdf
163	Stargate SG-1	The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-1600-364-241.pdf
164	Stranger Things	Peaky Blinders	https://compstorylab.org/archetypometrics/cards/Peaky-Blinders-1600-364-241.pdf
165	Succession	Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-1600-364-241.pdf
166	Suits	Ex Machina	https://compstorylab.org/archetypometrics/cards/Ex-Machina-1600-364-241.pdf
167	Superbad	The Perks of Being a Wallflower	https://compstorylab.org/archetypometrics/cards/The-Perks-of-Being-a-Wallflower-1600-364-241.pdf
168	Supergirl	CSI: Crime Scene Investigation	https://compstorylab.org/archetypometrics/cards/CSI-Crime-Scene-Investigation-1600-364-241.pdf
169	Supernatural	Girls	https://compstorylab.org/archetypometrics/cards/Girls-1600-364-241.pdf
170	Superstore	The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-1600-364-241.pdf
171	Terminator 2: Judgement Day	Ender's Game	https://compstorylab.org/archetypometrics/cards/Enders-Game-1600-364-241.pdf
172	That 70's Show	Psycho	https://compstorylab.org/archetypometrics/cards/Psycho-1600-364-241.pdf
173	The 100	Bob's Burgers	https://compstorylab.org/archetypometrics/cards/Bobs-Burgers-1600-364-241.pdf
174	The Americans	Ozark	https://compstorylab.org/archetypometrics/cards/Ozark-1600-364-241.pdf
175	The Big Bang Theory	Entourage	https://compstorylab.org/archetypometrics/cards/Entourage-1600-364-241.pdf
176	The Blacklist	Booksmart	https://compstorylab.org/archetypometrics/cards/Booksmart-1600-364-241.pdf
177	The Boondock Saints	The Boondock Saints	https://compstorylab.org/archetypometrics/cards/The-Boondock-Saints-1600-364-241.pdf
178	The Bourne Identity	Shameless	https://compstorylab.org/archetypometrics/cards/Shameless-1600-364-241.pdf
179	The Boys	Tropic Thunder	https://compstorylab.org/archetypometrics/cards/Tropic-Thunder-1600-364-241.pdf
180	The Breakfast Club	Fleabag	https://compstorylab.org/archetypometrics/cards/Fleabag-1600-364-241.pdf
181	The Cabin in the Woods	Glee	https://compstorylab.org/archetypometrics/cards/Glee-1600-364-241.pdf
182	The Dark Knight	Star Trek: The Next Generation	https://compstorylab.org/archetypometrics/cards/Star-Trek-The-Next-Generation-1600-364-241.pdf
183	The Departed	Back to the Future	https://compstorylab.org/archetypometrics/cards/Back-to-the-Future-1600-364-241.pdf
184	The Devil Wears Prada	Scrubs	https://compstorylab.org/archetypometrics/cards/Scrubs-1600-364-241.pdf
185	The Fall	The Umbrella Academy	https://compstorylab.org/archetypometrics/cards/The-Umbrella-Academy-1600-364-241.pdf
186	The Flash	Succession	https://compstorylab.org/archetypometrics/cards/Succession-1600-364-241.pdf
187	The Godfather	Suits	https://compstorylab.org/archetypometrics/cards/Suits-1600-364-241.pdf
188	The Good Doctor	New Girl	https://compstorylab.org/archetypometrics/cards/New-Girl-1600-364-241.pdf
189	The Good Place	A Nightmare on Elm Street	https://compstorylab.org/archetypometrics/cards/A-Nightmare-on-Elm-Street-1600-364-241.pdf
190	The Good Wife	It's Always Sunny in Philadelphia	https://compstorylab.org/archetypometrics/cards/Its-Always-Sunny-in-Philadelphia-1600-364-241.pdf
191	The Good, the Bad, and the Ugly	Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-1600-364-241.pdf
192	The Great Gatsby	M*A*S*H	https://compstorylab.org/archetypometrics/cards/MASH-1600-364-241.pdf
193	The Handmaid's Tale	Bones	https://compstorylab.org/archetypometrics/cards/Bones-1600-364-241.pdf
194	The Hangover	Castle	https://compstorylab.org/archetypometrics/cards/Castle-1600-364-241.pdf
195	The Hunger Games	X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-1600-364-241.pdf
196	The Lego Movie	Gotham	https://compstorylab.org/archetypometrics/cards/Gotham-1600-364-241.pdf
197	The Lion King	Gilmore Girls	https://compstorylab.org/archetypometrics/cards/Gilmore-Girls-1600-364-241.pdf
198	The Little Mermaid	The X-Files	https://compstorylab.org/archetypometrics/cards/The-X-Files-1600-364-241.pdf
199	The Man in the High Castle	The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-1600-364-241.pdf
200	The Martian	The Room	https://compstorylab.org/archetypometrics/cards/The-Room-1600-364-241.pdf
201	The Matrix	The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-1600-364-241.pdf
202	The Mentalist	Eternal Sunshine of the Spotless Mind	https://compstorylab.org/archetypometrics/cards/Eternal-Sunshine-of-the-Spotless-Mind-1600-364-241.pdf
203	The Notebook	The Little Mermaid	https://compstorylab.org/archetypometrics/cards/The-Little-Mermaid-1600-364-241.pdf
204	The Odyssey	Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-1600-364-241.pdf
205	The Office	The Lego Movie	https://compstorylab.org/archetypometrics/cards/The-Lego-Movie-1600-364-241.pdf
206	The Perks of Being a Wallflower	Crazy Rich Asians	https://compstorylab.org/archetypometrics/cards/Crazy-Rich-Asians-1600-364-241.pdf
207	The Queen's Gambit	Speed	https://compstorylab.org/archetypometrics/cards/Speed-1600-364-241.pdf
208	The Room	The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-1600-364-241.pdf
209	The Shawshank Redemption	Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-1600-364-241.pdf
210	The Silence of the Lambs	Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-1600-364-241.pdf
211	The Simpsons	10 Things I Hate About You	https://compstorylab.org/archetypometrics/cards/10-Things-I-Hate-About-You-1600-364-241.pdf
212	The Social Network	500 Days of Summer	https://compstorylab.org/archetypometrics/cards/500-Days-of-Summer-1600-364-241.pdf
213	The Sopranos	The Good Wife	https://compstorylab.org/archetypometrics/cards/The-Good-Wife-1600-364-241.pdf
214	The Umbrella Academy	Damages	https://compstorylab.org/archetypometrics/cards/Damages-1600-364-241.pdf
215	The Vampire Diaries	Titanic	https://compstorylab.org/archetypometrics/cards/Titanic-1600-364-241.pdf
216	The Walking Dead	Elementary	https://compstorylab.org/archetypometrics/cards/Elementary-1600-364-241.pdf
217	The West Wing	Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-1600-364-241.pdf
218	The Wire	Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-1600-364-241.pdf
219	The Wizard of Oz	The Notebook	https://compstorylab.org/archetypometrics/cards/The-Notebook-1600-364-241.pdf
220	The X-Files	The Office	https://compstorylab.org/archetypometrics/cards/The-Office-1600-364-241.pdf
221	This Is Us	The Martian	https://compstorylab.org/archetypometrics/cards/The-Martian-1600-364-241.pdf
222	Titanic	The Good Doctor	https://compstorylab.org/archetypometrics/cards/The-Good-Doctor-1600-364-241.pdf
223	Tommorrow Never Dies	The Fall	https://compstorylab.org/archetypometrics/cards/The-Fall-1600-364-241.pdf
224	Toy Story	True Detective	https://compstorylab.org/archetypometrics/cards/True-Detective-1600-364-241.pdf
225	Transformers	The Boys	https://compstorylab.org/archetypometrics/cards/The-Boys-1600-364-241.pdf
226	Tropic Thunder	The Americans	https://compstorylab.org/archetypometrics/cards/The-Americans-1600-364-241.pdf
227	True Detective	The Devil Wears Prada	https://compstorylab.org/archetypometrics/cards/The-Devil-Wears-Prada-1600-364-241.pdf
228	Twilight	Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-1600-364-241.pdf
229	Twin Peaks	Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-1600-364-241.pdf
230	Two and a Half Men	Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-1600-364-241.pdf
231	Unbreakable Kimmy Schmidt	The Blacklist	https://compstorylab.org/archetypometrics/cards/The-Blacklist-1600-364-241.pdf
232	Veep	Terminator 2: Judgement Day	https://compstorylab.org/archetypometrics/cards/Terminator-2-Judgement-Day-1600-364-241.pdf
233	Vikings	Aladdin	https://compstorylab.org/archetypometrics/cards/Aladdin-1600-364-241.pdf
234	West Side Story	Tommorrow Never Dies	https://compstorylab.org/archetypometrics/cards/Tommorrow-Never-Dies-1600-364-241.pdf
235	Westworld	My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-1600-364-241.pdf
236	White Collar	Game of Thrones	https://compstorylab.org/archetypometrics/cards/Game-of-Thrones-1600-364-241.pdf
237	Willy Wonka & the Chocolate Factory	Sense8	https://compstorylab.org/archetypometrics/cards/Sense8-1600-364-241.pdf
238	Wynonna Earp	Macbeth	https://compstorylab.org/archetypometrics/cards/Macbeth-1600-364-241.pdf
239	X-Men	The Cabin in the Woods	https://compstorylab.org/archetypometrics/cards/The-Cabin-in-the-Woods-1600-364-241.pdf
240	Yellowstone	The Queen's Gambit	https://compstorylab.org/archetypometrics/cards/The-Queens-Gambit-1600-364-241.pdf
241	Zombieland	Marvel Cinematic Universe	https://compstorylab.org/archetypometrics/cards/Marvel-Cinematic-Universe-1600-364-241.pdf
