index	differential	flipped differential	left pole	right pole	card url
105	spicy :: mild	mild :: spicy	spicy	mild	https://compstorylab.org/archetypometrics/cards/spicy--mild-1600-364-241.pdf
106	enslaved :: emancipated	emancipated :: enslaved	enslaved	emancipated	https://compstorylab.org/archetypometrics/cards/enslaved--emancipated-1600-364-241.pdf
107	optimistic :: pessimistic	pessimistic :: optimistic	optimistic	pessimistic	https://compstorylab.org/archetypometrics/cards/optimistic--pessimistic-1600-364-241.pdf
108	sickly :: healthy	healthy :: sickly	sickly	healthy	https://compstorylab.org/archetypometrics/cards/sickly--healthy-1600-364-241.pdf
109	luddite :: technophile	technophile :: luddite	luddite	technophile	https://compstorylab.org/archetypometrics/cards/luddite--technophile-1600-364-241.pdf
110	vain :: demure	demure :: vain	vain	demure	https://compstorylab.org/archetypometrics/cards/vain--demure-1600-364-241.pdf
111	high-tech :: low-tech	low-tech :: high-tech	high-tech	low-tech	https://compstorylab.org/archetypometrics/cards/high-tech--low-tech-1600-364-241.pdf
112	flexible :: rigid	rigid :: flexible	flexible	rigid	https://compstorylab.org/archetypometrics/cards/flexible--rigid-1600-364-241.pdf
113	cosmopolitan :: provincial	provincial :: cosmopolitan	cosmopolitan	provincial	https://compstorylab.org/archetypometrics/cards/cosmopolitan--provincial-1600-364-241.pdf
114	arcane :: mainstream	mainstream :: arcane	arcane	mainstream	https://compstorylab.org/archetypometrics/cards/arcane--mainstream-1600-364-241.pdf
115	outlaw :: sheriff	sheriff :: outlaw	outlaw	sheriff	https://compstorylab.org/archetypometrics/cards/outlaw--sheriff-1600-364-241.pdf
116	pronatalist :: child free	child free :: pronatalist	pronatalist	child free	https://compstorylab.org/archetypometrics/cards/pronatalist--child-free-1600-364-241.pdf
117	sad :: happy	happy :: sad	sad	happy	https://compstorylab.org/archetypometrics/cards/sad--happy-1600-364-241.pdf
118	jealous :: compersive	compersive :: jealous	jealous	compersive	https://compstorylab.org/archetypometrics/cards/jealous--compersive-1600-364-241.pdf
119	bitter :: sweet	sweet :: bitter	bitter	sweet	https://compstorylab.org/archetypometrics/cards/bitter--sweet-1600-364-241.pdf
120	resigned :: resistant	resistant :: resigned	resigned	resistant	https://compstorylab.org/archetypometrics/cards/resigned--resistant-1600-364-241.pdf
121	sarcastic :: genuine	genuine :: sarcastic	sarcastic	genuine	https://compstorylab.org/archetypometrics/cards/sarcastic--genuine-1600-364-241.pdf
122	human :: animalistic	animalistic :: human	human	animalistic	https://compstorylab.org/archetypometrics/cards/human--animalistic-1600-364-241.pdf
