index	character	character in latex	character/story	character/story in latex	card url
574	Mary Alice Young	Mary Alice Young	Mary Alice Young/Desperate Housewives	Mary Alice Young/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Mary-Alice-Young-0800-235-090.pdf
575	Mike Delfino	Mike Delfino	Mike Delfino/Desperate Housewives	Mike Delfino/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Mike-Delfino-0800-235-090.pdf
576	Tom Scavo	Tom Scavo	Tom Scavo/Desperate Housewives	Tom Scavo/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Tom-Scavo-0800-235-090.pdf
577	Sabrina Spellman	Sabrina Spellman	Sabrina Spellman/Chilling Adventures of Sabrina	Sabrina Spellman/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Sabrina-Spellman-0800-235-090.pdf
578	Harvey Kinkle	Harvey Kinkle	Harvey Kinkle/Chilling Adventures of Sabrina	Harvey Kinkle/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Harvey-Kinkle-0800-235-090.pdf
579	Hilda Spellman	Hilda Spellman	Hilda Spellman/Chilling Adventures of Sabrina	Hilda Spellman/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Hilda-Spellman-0800-235-090.pdf
580	Ambrose Spellman	Ambrose Spellman	Ambrose Spellman/Chilling Adventures of Sabrina	Ambrose Spellman/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Ambrose-Spellman-0800-235-090.pdf
581	Mary Wardwell	Mary Wardwell	Mary Wardwell/Chilling Adventures of Sabrina	Mary Wardwell/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Mary-Wardwell-0800-235-090.pdf
582	Rosalind Walker	Rosalind Walker	Rosalind Walker/Chilling Adventures of Sabrina	Rosalind Walker/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Rosalind-Walker-0800-235-090.pdf
583	Prudence Night	Prudence Night	Prudence Night/Chilling Adventures of Sabrina	Prudence Night/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Prudence-Night-0800-235-090.pdf
584	Agatha	Agatha	Agatha/Chilling Adventures of Sabrina	Agatha/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Agatha-0800-235-090.pdf
585	Faustus Blackwood	Faustus Blackwood	Faustus Blackwood/Chilling Adventures of Sabrina	Faustus Blackwood/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Faustus-Blackwood-0800-235-090.pdf
586	Zelda Spellman	Zelda Spellman	Zelda Spellman/Chilling Adventures of Sabrina	Zelda Spellman/Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-Zelda-Spellman-0800-235-090.pdf
587	Robert Crawley	Robert Crawley	Robert Crawley/Downton Abbey	Robert Crawley/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Robert-Crawley-0800-235-090.pdf
588	Lady Sybil Crawley	Lady Sybil Crawley	Lady Sybil Crawley/Downton Abbey	Lady Sybil Crawley/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Lady-Sybil-Crawley-0800-235-090.pdf
589	Lady Edith Crawley	Lady Edith Crawley	Lady Edith Crawley/Downton Abbey	Lady Edith Crawley/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Lady-Edith-Crawley-0800-235-090.pdf
590	Charlie Carson	Charlie Carson	Charlie Carson/Downton Abbey	Charlie Carson/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Charlie-Carson-0800-235-090.pdf
591	John Bates	John Bates	John Bates/Downton Abbey	John Bates/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-John-Bates-0800-235-090.pdf
592	Lady Mary Crawley	Lady Mary Crawley	Lady Mary Crawley/Downton Abbey	Lady Mary Crawley/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Lady-Mary-Crawley-0800-235-090.pdf
