index	character	character in latex	character/story	character/story in latex	card url
1309	Ursula	Ursula	Ursula/The Little Mermaid	Ursula/The Little Mermaid	https://compstorylab.org/archetypometrics/cards/The-Little-Mermaid-Ursula-2000-464-341.pdf
1310	Flounder	Flounder	Flounder/The Little Mermaid	Flounder/The Little Mermaid	https://compstorylab.org/archetypometrics/cards/The-Little-Mermaid-Flounder-2000-464-341.pdf
1311	Miriam Maisel	Miriam Maisel	Miriam Maisel/The Marvelous Mrs. Maisel	Miriam Maisel/The Marvelous Mrs. Maisel	https://compstorylab.org/archetypometrics/cards/The-Marvelous-Mrs-Maisel-Miriam-Maisel-2000-464-341.pdf
1312	Susie Myerson	Susie Myerson	Susie Myerson/The Marvelous Mrs. Maisel	Susie Myerson/The Marvelous Mrs. Maisel	https://compstorylab.org/archetypometrics/cards/The-Marvelous-Mrs-Maisel-Susie-Myerson-2000-464-341.pdf
1313	Joel Maisel	Joel Maisel	Joel Maisel/The Marvelous Mrs. Maisel	Joel Maisel/The Marvelous Mrs. Maisel	https://compstorylab.org/archetypometrics/cards/The-Marvelous-Mrs-Maisel-Joel-Maisel-2000-464-341.pdf
1314	Rose Weissman	Rose Weissman	Rose Weissman/The Marvelous Mrs. Maisel	Rose Weissman/The Marvelous Mrs. Maisel	https://compstorylab.org/archetypometrics/cards/The-Marvelous-Mrs-Maisel-Rose-Weissman-2000-464-341.pdf
1315	Abe Weissman	Abe Weissman	Abe Weissman/The Marvelous Mrs. Maisel	Abe Weissman/The Marvelous Mrs. Maisel	https://compstorylab.org/archetypometrics/cards/The-Marvelous-Mrs-Maisel-Abe-Weissman-2000-464-341.pdf
1316	Villanelle	Villanelle	Villanelle/Killing Eve	Villanelle/Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-Villanelle-2000-464-341.pdf
1317	Eve Polastri	Eve Polastri	Eve Polastri/Killing Eve	Eve Polastri/Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-Eve-Polastri-2000-464-341.pdf
1318	Carolyn Martens	Carolyn Martens	Carolyn Martens/Killing Eve	Carolyn Martens/Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-Carolyn-Martens-2000-464-341.pdf
1319	Konstantin	Konstantin	Konstantin/Killing Eve	Konstantin/Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-Konstantin-2000-464-341.pdf
1320	Niko Polastri	Niko Polastri	Niko Polastri/Killing Eve	Niko Polastri/Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-Niko-Polastri-2000-464-341.pdf
1321	Kenny Stowton	Kenny Stowton	Kenny Stowton/Killing Eve	Kenny Stowton/Killing Eve	https://compstorylab.org/archetypometrics/cards/Killing-Eve-Kenny-Stowton-2000-464-341.pdf
