106	Gilmore Girls	Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-2000-464-341.pdf
107	Girls	Broad City	https://compstorylab.org/archetypometrics/cards/Broad-City-2000-464-341.pdf
108	Gladiator	Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-2000-464-341.pdf
109	Glee	Tangled	https://compstorylab.org/archetypometrics/cards/Tangled-2000-464-341.pdf
110	Gone Girl	Steins;Gate	https://compstorylab.org/archetypometrics/cards/SteinsGate-2000-464-341.pdf
111	Gone With the Wind	The Fault in Our Stars	https://compstorylab.org/archetypometrics/cards/The-Fault-in-Our-Stars-2000-464-341.pdf
112	Good Will Hunting	The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-2000-464-341.pdf
113	Gossip Girl	Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-2000-464-341.pdf
114	Gotham	Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-2000-464-341.pdf
115	Green Book	Snow White and the Seven Dwarfs	https://compstorylab.org/archetypometrics/cards/Snow-White-and-the-Seven-Dwarfs-2000-464-341.pdf
116	Grey's Anatomy	Penny Arcade	https://compstorylab.org/archetypometrics/cards/Penny-Arcade-2000-464-341.pdf
117	Groundhog Day	Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-2000-464-341.pdf
118	Hamilton	Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-2000-464-341.pdf
119	Hamlet	Hustlers	https://compstorylab.org/archetypometrics/cards/Hustlers-2000-464-341.pdf
120	Hannibal	Catch Me If You Can	https://compstorylab.org/archetypometrics/cards/Catch-Me-If-You-Can-2000-464-341.pdf
121	Harry Potter	Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-2000-464-341.pdf
122	High School Musical	Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-2000-464-341.pdf
123	House of Gucci	Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-2000-464-341.pdf
124	House, M.D.	ER	https://compstorylab.org/archetypometrics/cards/ER-2000-464-341.pdf
125	How I Met Your Mother	The Social Network	https://compstorylab.org/archetypometrics/cards/The-Social-Network-2000-464-341.pdf
126	How To Get Away With Murder	Zombieland	https://compstorylab.org/archetypometrics/cards/Zombieland-2000-464-341.pdf
127	Hustlers	The Perks of Being a Wallflower	https://compstorylab.org/archetypometrics/cards/The-Perks-of-Being-a-Wallflower-2000-464-341.pdf
128	Inception	Community	https://compstorylab.org/archetypometrics/cards/Community-2000-464-341.pdf
129	Independence Day	House of Gucci	https://compstorylab.org/archetypometrics/cards/House-of-Gucci-2000-464-341.pdf
130	It's Always Sunny in Philadelphia	CSI: Crime Scene Investigation	https://compstorylab.org/archetypometrics/cards/CSI-Crime-Scene-Investigation-2000-464-341.pdf
131	Jane Eyre	Girls	https://compstorylab.org/archetypometrics/cards/Girls-2000-464-341.pdf
132	Jane the Virgin	The Shape of Water	https://compstorylab.org/archetypometrics/cards/The-Shape-of-Water-2000-464-341.pdf
133	Jaws	Terminator 2: Judgement Day	https://compstorylab.org/archetypometrics/cards/Terminator-2-Judgement-Day-2000-464-341.pdf
134	Jennifer's Body	Ender's Game	https://compstorylab.org/archetypometrics/cards/Enders-Game-2000-464-341.pdf
135	John Wick	Psycho	https://compstorylab.org/archetypometrics/cards/Psycho-2000-464-341.pdf
136	Jurassic Park	Silver Linings Playbook	https://compstorylab.org/archetypometrics/cards/Silver-Linings-Playbook-2000-464-341.pdf
137	Jurassic World	Bob's Burgers	https://compstorylab.org/archetypometrics/cards/Bobs-Burgers-2000-464-341.pdf
